emp_id,date,role,category,feedback,sentiment
5621,2022-09-25,Manager,Harassment and Discrimination,Employee resource groups need more support and resources.,negative
5395,2023-12-08,Employee,Work-Life Balance,Overwork during challenging times negatively impacts well-being.,negative
1028,2020-07-25,Manager,Cleanliness,The organization's cleanliness initiatives need reevaluation.,negative
9764,2021-05-15,Employee,Harassment and Discrimination,Offering training on cultural sensitivity is a positive step towards inclusivity.,positive
4158,2022-03-24,Employee,Cleanliness,Cleanliness measures during the pandemic are reassuring.,positive
3813,2022-05-05,Employee,Harassment and Discrimination,Employees need more support and encouragement to report discrimination.,negative
2053,2021-05-20,Manager,Work-Life Balance,The company's emphasis on taking breaks is understood.,neutral
1227,2022-11-02,Supervisor,Work-Life Balance,Providing resources on time management and prioritization is beneficial.,positive
6382,2022-01-12,Employee,Departmental level work,The Training department's e-learning modules have received mixed feedback.,neutral
4332,2021-04-26,Employee,Career Development,Employees lack awareness of career advancement options.,negative
5124,2022-06-04,Employee,Harassment and Discrimination,Encouraging employees to engage in diversity-focused networking events is beneficial.,positive
9718,2022-09-09,Employee,Stress,The company's efforts to reduce stress have not translated into practical solutions.,negative
5208,2023-06-18,Manager,Work-Life Balance,Encouraging employees to use their vacation days helps in maintaining balance.,positive
3272,2021-08-08,Employee,Career Development,Cross-functional teams provide diverse career experiences.,positive
9542,2021-12-20,Employee,Departmental level work,Marketing's creative campaigns have elicited diverse responses.,neutral
1259,2020-03-28,Manager,Work-Life Balance,Managers lead by example in maintaining a healthy work-life balance.,positive
1305,2022-11-10,Manager,Harassment and Discrimination,We appreciate the HR department's efforts in handling harassment complaints professionally.,positive
8911,2021-08-02,Supervisor,Harassment and Discrimination,Management should provide more resources for employee diversity initiatives.,negative
3255,2021-07-23,Employee,Departmental level work,Collaboration between Finance and Operations requires ongoing efforts.,neutral
2367,2020-10-21,Supervisor,Stress,Managers address stress-related concerns to varying degrees.,neutral
4958,2022-04-27,Employee,Work-Life Balance,Encouraging employees to recharge and relax may not be a consistent practice.,negative
2159,2021-01-19,Manager,Career Development,Improvement in career development efforts is overdue.,negative
1788,2020-08-06,Manager,Work-Life Balance,"Work-life balance remains a challenge, impacting employee satisfaction.",negative
9111,2023-06-22,Employee,Work-Life Balance,Remote work options are considered a potential solution for balance.,neutral
4512,2021-03-09,Employee,Departmental level work,Supply chain challenges in Manufacturing are negatively impacting operations.,negative
4134,2021-07-12,Manager,Harassment and Discrimination,The company's efforts to promote diversity are reflected in our inclusive culture.,positive
6843,2023-08-27,Manager,Harassment and Discrimination,Allyship resources need to be more readily available.,negative
1646,2020-04-02,Manager,Career Development,Continuous improvement in career development is a priority.,positive
7503,2022-03-14,Employee,Harassment and Discrimination,Transparency in handling discrimination cases is currently lacking.,neutral
8792,2021-08-12,Supervisor,Harassment and Discrimination,Encouraging employees to participate in diversity-related events is valuable.,positive
9524,2023-04-22,Supervisor,Stress,The impact of stress on mental health is a complex issue.,neutral
1506,2021-04-13,Employee,Career Development,Performance reviews include some discussion of career development.,neutral
7898,2023-12-28,Supervisor,Work-Life Balance,Overwork during challenging times may affect some more than others.,neutral
6620,2020-11-16,Employee,Work-Life Balance,Colleagues have different perspectives on work-life balance.,neutral
5561,2022-02-24,Supervisor,Departmental level work,The contract approval process with Legal is cumbersome and slow.,negative
2555,2021-01-12,Supervisor,Harassment and Discrimination,Communication about the company's policies regarding harassment needs improvement.,negative
7757,2023-12-13,Manager,Stress,There's room for improvement in stress communication and awareness.,neutral
7490,2022-02-17,Manager,Cleanliness,Cleanliness issues raise doubts about safety.,negative
8050,2021-12-21,Employee,Cleanliness,Cleaning routines are somewhat ingrained in our work culture.,neutral
3875,2020-02-10,Employee,Work-Life Balance,The company's emphasis on regular breaks may not be enforced consistently.,negative
1136,2022-08-15,Employee,Career Development,Employees feel supported in pursuing career changes within the company.,positive
3415,2022-04-05,Employee,Departmental level work,IT's successful maintenance of our technology infrastructure is appreciated.,positive
3200,2021-07-28,Employee,Stress,The company's commitment to employee well-being is reflected in its policies.,positive
6368,2020-12-09,Supervisor,Cleanliness,Cleanliness issues dampen my pride in our workplace.,negative
4626,2020-10-20,Manager,Harassment and Discrimination,Employee resource groups having leadership support is a great source of encouragement.,positive
3908,2023-06-05,Employee,Departmental level work,Legal's guidance on contracts has been inconsistent and frustrating.,negative
3510,2022-09-01,Employee,Departmental level work,The Manufacturing team is consistently falling short of production targets.,negative
2332,2020-02-07,Employee,Work-Life Balance,Remote work options may not be readily available to all employees.,negative
7626,2022-10-01,Employee,Work-Life Balance,The company's approach to minimizing overtime is being evaluated.,neutral
6748,2020-10-18,Manager,Career Development,Support for employees pursuing further education is commendable.,positive
9758,2023-11-02,Employee,Departmental level work,Efforts to enhance coordination between HR and Training are paying off.,positive
9800,2021-12-22,Supervisor,Career Development,Career development initiatives align with company goals.,positive
5472,2020-02-01,Manager,Career Development,Recognition and rewards for career milestones exist to some extent.,neutral
2137,2022-06-03,Supervisor,Harassment and Discrimination,Promotions should be based more on merit and less on bias.,negative
9979,2021-06-02,Supervisor,Departmental level work,The Manufacturing team is consistently falling short of production targets.,negative
6214,2021-04-24,Manager,Stress,Flexibility in remote work options reduces stress for employees.,positive
4958,2020-05-12,Supervisor,Stress,Providing training on stress management techniques is valuable.,positive
5999,2022-01-20,Employee,Harassment and Discrimination,Workshops on mitigating unconscious bias need to be more effective.,neutral
1840,2022-07-24,Supervisor,Departmental level work,Investments in IT for future growth are seen as a smart move.,positive
8998,2022-04-13,Supervisor,Career Development,Support for employees pursuing further education is commendable.,positive
4366,2021-08-06,Manager,Career Development,Employee success stories inspire others in their career journeys.,positive
3559,2023-06-24,Manager,Career Development,Career development offerings have moderate comprehensiveness.,neutral
2245,2020-01-15,Supervisor,Harassment and Discrimination,Encouraging employees to share their diversity stories fosters a sense of belonging.,positive
4271,2022-01-26,Employee,Harassment and Discrimination,It's great to see the company taking a proactive stance against harassment.,positive
7332,2021-07-05,Manager,Departmental level work,The Manufacturing team is consistently falling short of production targets.,negative
3072,2023-03-09,Employee,Harassment and Discrimination,Management should provide more resources for employee diversity initiatives.,negative
6340,2020-12-06,Supervisor,Work-Life Balance,The company's commitment to a reasonable workweek positively impacts work-life balance.,positive
9599,2021-12-25,Manager,Cleanliness,Cleanliness doesn't improve the overall work environment.,negative
1376,2022-03-08,Supervisor,Work-Life Balance,The company's emphasis on taking breaks is understood.,neutral
4426,2020-03-20,Employee,Cleanliness,Cleanliness measures don't create a welcoming space.,negative
7964,2021-08-01,Employee,Cleanliness,Cleanliness contributes to a positive and hygienic atmosphere.,positive
6624,2020-05-21,Manager,Stress,Lack of recognition and appreciation adds to job-related stress.,negative
9171,2021-02-21,Supervisor,Stress,The impact of stress on employee health and productivity is a significant concern.,negative
5317,2022-09-24,Manager,Cleanliness,Cleanliness in restrooms and break areas is neutral regarding morale.,neutral
7932,2020-03-21,Employee,Work-Life Balance,The availability of paid time off for personal reasons is a valuable benefit.,positive
9429,2023-01-06,Supervisor,Career Development,"Internal promotions occur occasionally, impacting some employees.",neutral
9205,2020-07-05,Supervisor,Departmental level work,Investment in IT infrastructure has not kept up with company growth.,negative
5336,2020-04-01,Supervisor,Cleanliness,Workplace cleanliness moderately affects productivity.,neutral
6088,2020-06-13,Supervisor,Departmental level work,Integrating R&D findings into Marketing strategies is proving difficult.,negative
4632,2020-02-05,Employee,Departmental level work,Communication between Support and Product teams is a subject of discussion.,neutral
2877,2022-05-25,Supervisor,Cleanliness,The restrooms are always spotless and well-stocked.,positive
8195,2023-01-21,Supervisor,Harassment and Discrimination,Diversity and inclusion surveys should be conducted more frequently.,neutral
6143,2022-09-08,Employee,Work-Life Balance,The company's approach to handling personal time varies by team.,negative
6189,2020-04-03,Manager,Cleanliness,Janitorial staff needs improvement in maintaining cleanliness.,negative
8434,2023-11-26,Employee,Departmental level work,The Production team's attention to detail varies by project.,neutral
5284,2020-03-17,Supervisor,Stress,Work-related stress can impact job satisfaction differently.,neutral
3864,2021-08-22,Manager,Harassment and Discrimination,Employee resource groups having leadership support is a great source of encouragement.,positive
7095,2021-12-13,Employee,Cleanliness,The cleanliness of shared spaces reflects professionalism.,positive
4910,2023-01-20,Manager,Harassment and Discrimination,Unconscious bias is still prevalent and requires more attention.,negative
3786,2023-11-26,Supervisor,Career Development,Career paths and growth opportunities are somewhat defined.,neutral
5258,2022-11-02,Supervisor,Career Development,"Career advancement is slow, leading to employee frustration.",negative
3376,2022-12-02,Employee,Stress,The company's commitment to a healthy work-life balance positively impacts stress levels.,positive
1004,2023-11-25,Manager,Harassment and Discrimination,It's great to see the company taking a proactive stance against harassment.,positive
8563,2023-03-21,Supervisor,Work-Life Balance,Inconsistent workload management impacts work-life balance.,negative
4880,2021-09-24,Manager,Departmental level work,The Marketing team's recent campaigns have had mixed responses.,neutral
3958,2021-11-23,Supervisor,Departmental level work,The Manufacturing team consistently meets production targets.,positive
4562,2023-04-09,Supervisor,Harassment and Discrimination,The anti-retaliation policy needs to be reinforced more consistently.,neutral
3699,2022-11-07,Employee,Departmental level work,Training's workshops have not delivered the expected results.,negative
8412,2023-12-07,Manager,Work-Life Balance,The company's support for remote work options may not be uniform.,negative
