,exploration,adv_courses,Group,Area,Colab,Exp,Resouce,extracurriculars,help_others,confidence,feedback,communication,hours,class
0,No,No,Yes,Data Analysis,Neutral,8,TextBook,5,5,6,Verbal,Neutral,9,Beginner
1,Yes,No,Yes,Computer Vision,Highly Collaborative,1,Study Group,3,6,8,Written,Dislike,3,Professional
2,No,No,Yes,Computer Vision,Independent,2,TextBook,10,5,5,Verbal,Dislike,6,Beginner
3,No,Yes,Yes,NLP,Independent,6,Peer Discussion,6,9,9,Written,Neutral,7,Advanced
4,No,No,Yes,Computer Vision,Highly Collaborative,6,TextBook,4,5,1,Written,Enjoy Communicating,6,Beginner
5,Yes,No,Yes,Data Analysis,Neutral,7,Study Group,10,2,2,Verbal,Neutral,3,Beginner
6,No,Yes,Yes,NLP,Neutral,3,Study Group,5,10,1,Written,Dislike,10,Beginner
7,Yes,No,No,Data Analysis,Highly Collaborative,10,TextBook,3,9,9,Written,Neutral,7,Advanced
8,Yes,No,No,NLP,Highly Collaborative,8,Peer Discussion,3,1,9,Written,Neutral,6,Advanced
9,Yes,Yes,Yes,NLP,Independent,9,Peer Discussion,1,4,7,Written,Enjoy Communicating,10,Professional
10,Yes,Yes,Yes,NLP,Independent,9,TextBook,7,7,1,Verbal,Neutral,7,Intermediate
11,No,No,Yes,Data Analysis,Highly Collaborative,9,TextBook,10,6,8,Written,Dislike,10,Advanced
12,Yes,Yes,No,Computer Vision,Highly Collaborative,1,Peer Discussion,4,6,6,Written,Enjoy Communicating,7,Beginner
13,No,Yes,Yes,NLP,Independent,4,Study Group,3,6,10,Verbal,Dislike,4,Intermediate
14,Yes,No,Yes,NLP,Highly Collaborative,9,TextBook,6,4,7,Verbal,Enjoy Communicating,2,Intermediate
15,Yes,Yes,No,Data Analysis,Highly Collaborative,4,TextBook,7,3,5,Verbal,Dislike,2,Professional
16,No,Yes,Yes,Computer Vision,Dislike,2,Peer Discussion,1,6,8,Verbal,Enjoy Communicating,8,Intermediate
17,Yes,Yes,Yes,NLP,Independent,5,Online,2,4,5,Verbal,Dislike,2,Advanced
18,Yes,Yes,Yes,NLP,Dislike,10,Study Group,7,8,2,Written,Neutral,6,Professional
19,Yes,No,Yes,Data Analysis,Neutral,2,Study Group,5,10,4,Written,Enjoy Communicating,7,Professional
20,Yes,No,No,Deep Learning,Highly Collaborative,7,Study Group,7,7,8,Verbal,Neutral,6,Advanced
21,Yes,No,No,Computer Vision,Highly Collaborative,1,TextBook,8,6,1,Written,Dislike,10,Intermediate
22,Yes,Yes,No,Computer Vision,Dislike,8,Peer Discussion,5,9,6,Written,Neutral,5,Professional
23,No,No,Yes,Deep Learning,Highly Collaborative,9,Study Group,3,3,6,Written,Enjoy Communicating,5,Beginner
24,Yes,Yes,Yes,Computer Vision,Neutral,9,Online,6,6,5,Written,Neutral,4,Beginner
25,No,No,No,Deep Learning,Highly Collaborative,8,Online,3,1,3,Written,Enjoy Communicating,6,Beginner
26,Yes,Yes,Yes,Data Analysis,Dislike,4,Peer Discussion,7,2,6,Verbal,Neutral,8,Advanced
27,Yes,No,No,NLP,Independent,6,Peer Discussion,6,6,3,Verbal,Enjoy Communicating,5,Beginner
28,No,Yes,No,Computer Vision,Highly Collaborative,4,Study Group,5,4,6,Verbal,Dislike,4,Advanced
29,No,Yes,No,Computer Vision,Highly Collaborative,3,Online,2,4,2,Verbal,Neutral,2,Intermediate
30,Yes,Yes,No,Deep Learning,Highly Collaborative,7,TextBook,7,1,7,Verbal,Enjoy Communicating,6,Intermediate
31,Yes,No,No,NLP,Highly Collaborative,6,Peer Discussion,9,2,7,Verbal,Dislike,7,Intermediate
32,Yes,No,No,Data Analysis,Independent,3,Study Group,4,2,7,Verbal,Neutral,9,Intermediate
33,Yes,Yes,No,Deep Learning,Highly Collaborative,9,TextBook,7,10,6,Written,Enjoy Communicating,10,Advanced
34,No,Yes,Yes,Data Analysis,Neutral,1,Study Group,5,1,3,Written,Enjoy Communicating,4,Advanced
35,Yes,Yes,Yes,Deep Learning,Independent,1,Online,7,9,10,Verbal,Neutral,5,Advanced
36,No,Yes,No,Deep Learning,Dislike,3,Study Group,9,1,6,Written,Enjoy Communicating,5,Intermediate
37,Yes,Yes,Yes,NLP,Independent,5,Peer Discussion,1,3,1,Written,Neutral,10,Advanced
38,Yes,No,No,Deep Learning,Neutral,9,TextBook,2,6,6,Written,Dislike,10,Beginner
39,No,Yes,No,Deep Learning,Independent,6,Study Group,10,10,2,Verbal,Enjoy Communicating,8,Professional
40,Yes,Yes,Yes,Computer Vision,Dislike,1,Online,7,9,8,Written,Neutral,10,Intermediate
41,No,Yes,Yes,Deep Learning,Independent,8,Online,10,9,1,Verbal,Dislike,6,Beginner
42,No,Yes,No,Computer Vision,Neutral,2,Peer Discussion,9,9,4,Written,Dislike,5,Advanced
43,No,Yes,Yes,NLP,Neutral,10,TextBook,7,4,7,Verbal,Dislike,5,Professional
44,No,Yes,Yes,Computer Vision,Dislike,1,Study Group,7,8,7,Verbal,Neutral,3,Advanced
45,Yes,Yes,Yes,NLP,Dislike,2,Online,5,10,10,Written,Dislike,8,Intermediate
46,No,Yes,No,Computer Vision,Independent,2,Peer Discussion,8,8,2,Verbal,Enjoy Communicating,4,Beginner
47,No,Yes,No,NLP,Independent,6,Study Group,2,2,6,Verbal,Enjoy Communicating,3,Professional
48,No,No,No,Deep Learning,Dislike,8,TextBook,8,4,10,Verbal,Enjoy Communicating,10,Advanced
49,No,Yes,Yes,Deep Learning,Independent,6,TextBook,2,8,5,Written,Dislike,8,Professional
50,No,No,Yes,Data Analysis,Independent,4,TextBook,6,6,5,Verbal,Dislike,8,Intermediate
51,No,Yes,Yes,Deep Learning,Neutral,5,Peer Discussion,3,1,7,Written,Enjoy Communicating,4,Intermediate
52,Yes,Yes,No,Deep Learning,Neutral,5,TextBook,5,8,9,Verbal,Enjoy Communicating,1,Beginner
53,No,No,Yes,NLP,Dislike,10,TextBook,1,7,4,Verbal,Enjoy Communicating,7,Beginner
54,No,No,Yes,NLP,Highly Collaborative,2,TextBook,2,5,10,Written,Neutral,8,Professional
55,Yes,No,Yes,Deep Learning,Neutral,7,Peer Discussion,1,5,3,Verbal,Neutral,4,Beginner
56,No,Yes,Yes,NLP,Independent,7,Peer Discussion,1,1,7,Verbal,Enjoy Communicating,4,Professional
57,Yes,No,Yes,Deep Learning,Independent,10,Study Group,9,5,2,Verbal,Dislike,3,Intermediate
58,No,Yes,No,Data Analysis,Neutral,9,TextBook,10,6,1,Verbal,Enjoy Communicating,1,Beginner
59,No,Yes,No,Data Analysis,Independent,9,TextBook,6,3,3,Verbal,Dislike,2,Advanced
60,No,Yes,Yes,NLP,Independent,10,TextBook,2,8,7,Written,Enjoy Communicating,2,Intermediate
61,No,Yes,Yes,NLP,Dislike,3,Online,3,1,7,Written,Enjoy Communicating,9,Intermediate
62,Yes,Yes,Yes,NLP,Neutral,9,Peer Discussion,4,10,5,Verbal,Dislike,1,Professional
63,Yes,Yes,No,NLP,Neutral,4,Peer Discussion,5,10,4,Written,Neutral,5,Intermediate
64,Yes,Yes,Yes,NLP,Neutral,7,Study Group,2,4,10,Verbal,Dislike,1,Intermediate
65,No,No,Yes,NLP,Dislike,8,Online,4,9,8,Written,Dislike,7,Intermediate
66,Yes,No,No,Deep Learning,Highly Collaborative,4,TextBook,2,6,2,Verbal,Neutral,9,Intermediate
67,Yes,No,No,NLP,Dislike,10,Study Group,8,4,3,Verbal,Dislike,9,Intermediate
68,Yes,No,No,NLP,Neutral,3,Study Group,8,8,6,Verbal,Neutral,2,Professional
69,Yes,Yes,No,Data Analysis,Dislike,2,Study Group,8,4,4,Written,Dislike,8,Beginner
70,No,No,No,Deep Learning,Highly Collaborative,10,TextBook,8,1,7,Verbal,Neutral,7,Professional
71,No,Yes,Yes,Data Analysis,Neutral,10,Peer Discussion,2,1,6,Written,Neutral,2,Intermediate
72,Yes,No,No,Computer Vision,Independent,9,Online,5,2,3,Written,Dislike,3,Intermediate
73,Yes,Yes,No,Data Analysis,Independent,8,Peer Discussion,6,2,5,Written,Dislike,4,Beginner
74,No,Yes,No,Data Analysis,Independent,7,Online,6,8,5,Verbal,Neutral,9,Beginner
75,Yes,Yes,Yes,Deep Learning,Neutral,8,Study Group,2,2,7,Written,Dislike,4,Professional
76,No,Yes,No,NLP,Independent,8,Online,7,10,3,Written,Neutral,3,Intermediate
77,No,Yes,Yes,Computer Vision,Highly Collaborative,8,Peer Discussion,10,7,10,Written,Neutral,8,Beginner
78,Yes,No,Yes,NLP,Highly Collaborative,2,Peer Discussion,9,5,6,Written,Enjoy Communicating,10,Advanced
79,No,Yes,Yes,Deep Learning,Neutral,2,TextBook,8,10,8,Written,Dislike,7,Advanced
80,Yes,No,Yes,NLP,Neutral,5,TextBook,6,8,10,Written,Neutral,6,Professional
81,No,No,Yes,Deep Learning,Highly Collaborative,1,Study Group,4,4,1,Verbal,Dislike,5,Advanced
82,Yes,Yes,No,Computer Vision,Dislike,10,Study Group,7,1,7,Written,Enjoy Communicating,8,Intermediate
83,No,Yes,No,NLP,Neutral,7,TextBook,5,4,10,Verbal,Neutral,2,Intermediate
84,No,No,No,NLP,Neutral,10,Online,4,9,1,Written,Dislike,2,Intermediate
85,Yes,No,Yes,Computer Vision,Neutral,6,Online,3,10,1,Written,Enjoy Communicating,3,Intermediate
86,Yes,Yes,Yes,Computer Vision,Independent,4,Peer Discussion,10,3,8,Verbal,Enjoy Communicating,9,Beginner
87,Yes,Yes,No,Deep Learning,Highly Collaborative,8,Peer Discussion,3,6,8,Written,Dislike,4,Advanced
88,No,Yes,Yes,NLP,Neutral,7,Online,2,3,8,Verbal,Enjoy Communicating,10,Professional
89,No,Yes,Yes,Computer Vision,Dislike,1,TextBook,4,9,2,Written,Enjoy Communicating,2,Professional
90,Yes,Yes,No,NLP,Highly Collaborative,10,TextBook,1,5,4,Written,Neutral,7,Advanced
91,No,Yes,Yes,Deep Learning,Independent,1,TextBook,1,1,10,Verbal,Dislike,3,Advanced
92,Yes,No,Yes,Data Analysis,Highly Collaborative,5,Study Group,4,7,9,Verbal,Neutral,4,Intermediate
93,Yes,Yes,Yes,Computer Vision,Neutral,9,Online,9,4,8,Verbal,Dislike,1,Beginner
94,Yes,Yes,No,Data Analysis,Independent,8,Study Group,6,7,2,Written,Neutral,4,Intermediate
95,Yes,No,Yes,Computer Vision,Highly Collaborative,10,Study Group,8,2,7,Verbal,Dislike,3,Intermediate
96,No,Yes,Yes,Data Analysis,Highly Collaborative,2,Online,8,3,4,Verbal,Neutral,8,Professional
97,Yes,Yes,No,Deep Learning,Independent,2,Peer Discussion,3,7,8,Verbal,Dislike,7,Professional
98,Yes,Yes,Yes,Data Analysis,Highly Collaborative,10,Online,3,1,10,Written,Neutral,10,Advanced
99,No,Yes,No,Deep Learning,Neutral,2,Online,10,4,7,Verbal,Enjoy Communicating,2,Beginner
100,No,Yes,Yes,Computer Vision,Neutral,10,Study Group,9,7,6,Verbal,Dislike,2,Beginner
101,No,No,No,Data Analysis,Neutral,4,Study Group,1,10,6,Written,Dislike,4,Advanced
102,No,No,Yes,Data Analysis,Independent,4,Online,5,4,4,Written,Dislike,10,Beginner
103,No,Yes,No,Deep Learning,Dislike,6,TextBook,6,3,8,Written,Neutral,2,Advanced
104,No,Yes,Yes,Computer Vision,Neutral,4,Peer Discussion,3,1,8,Written,Dislike,3,Beginner
105,Yes,Yes,Yes,Data Analysis,Highly Collaborative,6,Peer Discussion,1,3,6,Verbal,Dislike,1,Professional
106,Yes,No,No,NLP,Highly Collaborative,1,Online,6,5,9,Verbal,Dislike,3,Beginner
107,Yes,No,No,Deep Learning,Independent,1,TextBook,7,1,3,Verbal,Enjoy Communicating,1,Professional
108,Yes,No,Yes,NLP,Independent,9,TextBook,2,7,2,Verbal,Enjoy Communicating,2,Beginner
109,No,Yes,Yes,Data Analysis,Highly Collaborative,4,Study Group,10,2,6,Written,Dislike,9,Professional
